,,,Excessive drinking,,,,,
FIPS,State,County,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,,
01001,Alabama,Autauga,16,11,23,4,,
01003,Alabama,Baldwin,20,16,24,4,,
01005,Alabama,Barbour,11,6,19,3,,
01007,Alabama,Bibb,13,8,20,4,,
01009,Alabama,Blount,5,3,9,1,,
01011,Alabama,Bullock,5,2,12,1,,
01013,Alabama,Butler,9,5,16,2,,
01015,Alabama,Calhoun,13,10,16,3,,
01017,Alabama,Chambers,13,7,22,4,,
01019,Alabama,Cherokee,13,7,22,4,,
01021,Alabama,2000,10,6,17,2,,
01023,Alabama,Choctaw,8,4,16,1,,
01025,Alabama,Clarke,14,7,27,4,,
01027,Alabama,Clay,7,3,15,1,,
01029,Alabama,Cleburne,10,4,20,2,,
01031,Alabama,Coffee,11,8,17,3,,
01033,Alabama,Colbert,8,5,15,1,,
01035,Alabama,Conecuh,6,3,13,1,,
01037,Alabama,Coosa,9,4,19,2,,
01039,Alabama,Covington,12,8,20,3,,
01041,Alabama,Crenshaw,,,,2,,
01043,Alabama,Cullman,7,4,11,1,,
01045,Alabama,Dale,17,12,23,4,,
01047,Alabama,Dallas,12,8,17,3,,
01049,Alabama,DeKalb,11,6,18,3,,
01051,Alabama,Elmore,9,7,13,2,,
01053,Alabama,Escambia,6,4,11,1,,
01055,Alabama,Etowah,12,9,15,3,,
01057,Alabama,Fayette,4,2,8,1,,
01059,Alabama,Franklin,7,3,14,1,,
01061,Alabama,Geneva,9,5,17,2,,
01063,Alabama,Greene,,,,2,,
01065,Alabama,Hale,8,3,19,1,,
01067,Alabama,Henry,4,2,9,1,,
01069,Alabama,Houston,11,8,15,3,,
01071,Alabama,Jackson,7,4,13,1,,
01073,Alabama,Jefferson,15,13,16,4,,
01075,Alabama,Lamar,,,,2,,
01077,Alabama,Lauderdale,7,5,11,1,,
01079,Alabama,Lawrence,8,4,13,1,,
01081,Alabama,Lee,19,14,25,4,,
01083,Alabama,Limestone,9,5,15,2,,
01085,Alabama,Lowndes,17,10,26,4,,
01087,Alabama,Macon,,,,2,,
01089,Alabama,Madison,12,10,14,3,,
01091,Alabama,Marengo,15,8,27,4,,
01093,Alabama,Marion,4,2,7,1,,
01095,Alabama,Marshall,13,9,19,4,,
01097,Alabama,Mobile,14,12,16,4,,
01099,Alabama,Monroe,12,6,24,3,,
01101,Alabama,Montgomery,13,11,17,4,,
01103,Alabama,Morgan,10,6,14,2,,
01105,Alabama,Perry,,,,2,,
01107,Alabama,Pickens,10,6,18,2,,
01109,Alabama,Pike,9,5,16,2,,
01111,Alabama,Randolph,10,6,18,2,,
01113,Alabama,Russell,,,,2,,
01115,Alabama,St. Clair,11,8,16,3,,
01117,Alabama,Shelby,13,11,16,4,,
01119,Alabama,Sumter,12,6,22,3,,
01121,Alabama,Talladega,10,8,14,2,,
01123,Alabama,Tallapoosa,16,11,23,4,,
01125,Alabama,Tuscaloosa,13,11,16,4,,
01127,Alabama,Walker,7,5,10,1,,
01129,Alabama,Washington,10,5,20,2,,
01131,Alabama,Wilcox,,,,2,,
01133,Alabama,Winston,9,5,15,2,,
02013,Alaska,Aleutians East,,,,NR,,
02016,Alaska,Aleutians West,23,16,33,4,,
02020,Alaska,Anchorage,19,17,21,2,,
02050,Alaska,Bethel,17,14,21,1,,
02060,Alaska,Bristol Bay,,,,NR,,
02068,Alaska,Denali,22,14,33,NR,,
02070,Alaska,Dillingham,15,11,22,1,,
02090,Alaska,Fairbanks North Star,21,19,23,3,,
02100,Alaska,Haines,17,11,25,1,,
02110,Alaska,Juneau,21,19,24,3,,
02122,Alaska,Kenai Peninsula,18,17,21,2,,
02130,Alaska,Ketchikan Gateway,22,18,26,4,,
02150,Alaska,Kodiak Island,26,21,30,4,,
02164,Alaska,Lake and Peninsula,,,,2,,
