FIPS,State,County,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,,12,12,13,
01001,Alabama,Autauga,17,12,23,1.50
01003,Alabama,Baldwin,19,15,22,2.09
01005,Alabama,Barbour,13,7,21,0.48
01007,Alabama,Bibb,13,9,20,0.61
01009,Alabama,Blount,5,3,10,-1.49
01011,Alabama,Bullock,,,,0.00
01013,Alabama,Butler,10,6,16,-0.33
01015,Alabama,Calhoun,13,10,16,0.48
01017,Alabama,Chambers,8,4,15,-0.82
01019,Alabama,Cherokee,14,8,23,0.83
01021,Alabama,Chilton,11,7,18,-0.01
01023,Alabama,Choctaw,8,4,16,-0.82
01025,Alabama,Clarke,13,6,26,0.53
01027,Alabama,Clay,6,3,14,-1.30
01029,Alabama,Cleburne,9,4,19,-0.47
01031,Alabama,Coffee,12,8,16,0.21
01033,Alabama,Colbert,10,6,16,-0.39
01035,Alabama,Conecuh,6,3,13,-1.38
01037,Alabama,Coosa,13,7,24,0.58
01039,Alabama,Covington,12,8,19,0.37
01041,Alabama,Crenshaw,13,6,25,0.48
01043,Alabama,Cullman,10,6,15,-0.30
01045,Alabama,Dale,15,10,22,1.15
01047,Alabama,Dallas,11,7,15,-0.06
01049,Alabama,DeKalb,10,6,16,-0.30
01051,Alabama,Elmore,10,7,14,-0.33
01053,Alabama,Escambia,7,5,11,-1.00
01055,Alabama,Etowah,11,8,15,0.10
01057,Alabama,Fayette,4,2,8,-2.00
01059,Alabama,Franklin,4,2,10,-1.84
01061,Alabama,Geneva,12,6,21,0.26
01063,Alabama,Greene,,,,0.00
01065,Alabama,Hale,8,3,19,-0.76
01067,Alabama,Henry,6,3,13,-1.27
01069,Alabama,Houston,12,9,16,0.18
01071,Alabama,Jackson,8,5,13,-0.82
01073,Alabama,Jefferson,15,13,17,0.99
01075,Alabama,Lamar,,,,0.00
01077,Alabama,Lauderdale,4,3,7,-1.78
01079,Alabama,Lawrence,5,3,10,-1.60
01081,Alabama,Lee,19,14,25,2.20
01083,Alabama,Limestone,10,6,16,-0.36
01085,Alabama,Lowndes,18,12,27,1.85
01087,Alabama,Macon,,,,0.00
01089,Alabama,Madison,11,9,13,0.07
01091,Alabama,Marengo,15,8,26,1.15
01093,Alabama,Marion,3,1,5,-2.22
01095,Alabama,Marshall,13,9,19,0.58
01097,Alabama,Mobile,15,13,17,1.12
01099,Alabama,Monroe,15,8,27,1.04
01101,Alabama,Montgomery,15,12,18,0.99
01103,Alabama,Morgan,10,7,15,-0.17
01105,Alabama,Perry,15,8,26,1.04
01107,Alabama,Pickens,8,4,15,-0.79
01109,Alabama,Pike,11,6,18,0.02
01111,Alabama,Randolph,13,8,22,0.66
01113,Alabama,Russell,,,,0.00
01115,Alabama,St. Clair,11,7,15,-0.06
01117,Alabama,Shelby,12,10,15,0.29
01119,Alabama,Sumter,14,8,25,0.85
01121,Alabama,Talladega,10,7,13,-0.28
01123,Alabama,Tallapoosa,14,10,21,0.88
01125,Alabama,Tuscaloosa,12,10,15,0.34
01127,Alabama,Walker,7,5,11,-1.03
01129,Alabama,Washington,10,5,19,-0.30
01131,Alabama,Wilcox,,,,0.00
01133,Alabama,Winston,12,8,19,0.37
02000,Alaska,,19,19,20,
02013,Alaska,Aleutians East,,,,
02016,Alaska,Aleutians West,26,18,35,1.26
02020,Alaska,Anchorage,19,17,21,-0.19
02050,Alaska,Bethel,17,14,21,-0.57
02060,Alaska,Bristol Bay,,,,
02068,Alaska,Denali,27,19,38,
02070,Alaska,Dillingham,15,10,22,-1.02
02090,Alaska,Fairbanks North Star,21,19,23,0.18
02100,Alaska,Haines,15,10,23,-1.00
02110,Alaska,Juneau,22,19,25,0.41
02122,Alaska,Kenai Peninsula,18,16,20,-0.40
02130,Alaska,Ketchikan Gateway,23,19,27,0.62
02150,Alaska,Kodiak Island,26,21,30,1.20
02164,Alaska,Lake and Peninsula,,,,0.00
02170,Alaska,Matanuska-Susitna,18,15,21,-0.51
02180,Alaska,Nome,21,17,26,0.24
02185,Alaska,North Slope,15,11,21,-0.95
02188,Alaska,Northwest Arctic,22,17,29,0.52
02201,Alaska,Prince of Wales-Outer Ketchikan,19,13,25,-0.29
02220,Alaska,Sitka,25,20,30,1.01
02232,Alaska,Skagway-Hoonah-Angoon,28,21,38,1.82
02240,Alaska,Southeast Fairbanks,14,9,21,-1.27
02261,Alaska,Valdez-Cordova,21,17,26,0.20
02270,Alaska,Wade Hampton,8,5,13,-2.47
02280,Alaska,Wrangell-Petersburg,21,15,27,0.15
02282,Alaska,Yakutat,,,,
02290,Alaska,Yukon-Koyukuk,25,20,31,1.07
04000,Arizona,,17,16,17,
04001,Arizona,Apache,13,10,16,-1.28
04003,Arizona,Cochise,14,12,16,-0.93
04005,Arizona,Coconino,16,13,18,-0.15
04007,Arizona,Gila,16,12,20,-0.19
04009,Arizona,Graham,14,11,18,-0.81
04011,Arizona,Greenlee,17,12,23,0.43
04012,Arizona,La Paz,22,16,29,2.26
04013,Arizona,Maricopa,17,16,18,0.39
04015,Arizona,Mohave,17,15,20,0.55
04017,Arizona,Navajo,12,10,15,-1.40
04019,Arizona,Pima,16,14,17,-0.15
04021,Arizona,Pinal,19,17,22,1.25
04023,Arizona,Santa Cruz,19,16,22,1.01
04025,Arizona,Yavapai,15,12,17,-0.58
04027,Arizona,Yuma,15,13,17,-0.39
05000,Arkansas,,13,12,13,
05001,Arkansas,Arkansas,13,8,22,0.75
05003,Arkansas,Ashley,10,6,18,-0.10
05005,Arkansas,Baxter,15,11,20,1.16
05007,Arkansas,Benton,14,11,16,0.80
05009,Arkansas,Boone,6,4,9,-1.42
05011,Arkansas,Bradley,4,2,11,-1.89
05013,Arkansas,Calhoun,8,3,20,-0.89
05015,Arkansas,Carroll,12,8,18,0.31
05017,Arkansas,Chicot,10,5,19,-0.10
05019,Arkansas,Clark,9,5,16,-0.39
05021,Arkansas,Clay,6,3,11,-1.51
05023,Arkansas,Cleburne,,,,0.00
05025,Arkansas,Cleveland,7,2,19,-1.13
05027,Arkansas,Columbia,12,7,21,0.48
05029,Arkansas,Conway,13,6,24,0.54
05031,Arkansas,Craighead,9,7,13,-0.42
05033,Arkansas,Crawford,14,10,19,0.86
05035,Arkansas,Crittenden,11,7,17,0.10
05037,Arkansas,Cross,11,7,18,0.04
05039,Arkansas,Dallas,4,1,13,-1.92
05041,Arkansas,Desha,8,4,15,-0.86
05043,Arkansas,Drew,12,7,21,0.34
05045,Arkansas,Faulkner,14,11,18,1.01
05047,Arkansas,Franklin,7,4,14,-1.01
05049,Arkansas,Fulton,9,4,17,-0.60
05051,Arkansas,Garland,15,12,19,1.30
05053,Arkansas,Grant,17,9,28,1.68
05055,Arkansas,Greene,12,8,18,0.37
05057,Arkansas,Hempstead,10,6,17,-0.16
05059,Arkansas,Hot Spring,10,7,15,-0.19
05061,Arkansas,Howard,,,,0.00
05063,Arkansas,Independence,9,6,13,-0.63
05065,Arkansas,Izard,11,6,20,0.07
05067,Arkansas,Jackson,3,1,7,-2.27
05069,Arkansas,Jefferson,15,12,19,1.27
05071,Arkansas,Johnson,13,8,20,0.63
05073,Arkansas,Lafayette,,,,0.00
05075,Arkansas,Lawrence,6,2,14,-1.45
05077,Arkansas,Lee,11,6,18,-0.04
05079,Arkansas,Lincoln,5,2,13,-1.74
05081,Arkansas,Little River,7,4,14,-1.01
05083,Arkansas,Logan,10,6,17,-0.13
05085,Arkansas,Lonoke,14,10,20,1.04
05087,Arkansas,Madison,16,11,25,1.65
05089,Arkansas,Marion,13,9,18,0.51
05091,Arkansas,Miller,13,9,18,0.57
05093,Arkansas,Mississippi,7,4,11,-1.13
05095,Arkansas,Monroe,11,5,22,-0.01
05097,Arkansas,Montgomery,,,,0.00
05099,Arkansas,Nevada,10,4,19,-0.37
05101,Arkansas,Newton,16,8,28,1.45
05103,Arkansas,Ouachita,13,7,22,0.54
05105,Arkansas,Perry,14,7,26,0.92
05107,Arkansas,Phillips,12,8,18,0.37
05109,Arkansas,Pike,13,7,24,0.72
05111,Arkansas,Poinsett,11,6,21,0.16
05113,Arkansas,Polk,11,7,18,0.13
05115,Arkansas,Pope,14,10,18,0.80
05117,Arkansas,Prairie,7,3,18,-1.01
05119,Arkansas,Pulaski,16,15,18,1.62
05121,Arkansas,Randolph,10,6,17,-0.16
05123,Arkansas,St. Francis,9,5,15,-0.57
05125,Arkansas,Saline,11,9,14,0.04
05127,Arkansas,Scott,8,3,16,-0.95
05129,Arkansas,Searcy,9,4,18,-0.48
05131,Arkansas,Sebastian,12,9,15,0.28
05133,Arkansas,Sevier,17,10,27,1.74
05135,Arkansas,Sharp,8,5,13,-0.72
