FIPS,State,County,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile
01001,Alabama,Autauga,15,14,16,4
01003,Alabama,Baldwin,15,15,16,4
01005,Alabama,Barbour,12,11,12,2
01007,Alabama,Bibb,14,14,15,4
01009,Alabama,Blount,14,13,15,3
01011,Alabama,Bullock,11,11,12,1
01013,Alabama,Butler,11,11,12,1
01015,Alabama,Calhoun,15,14,15,4
01017,Alabama,Chambers,12,11,12,1
01019,Alabama,Cherokee,13,12,14,3
01021,Alabama,Chilton,14,14,15,4
01023,Alabama,Choctaw,10,10,11,1
01025,Alabama,Clarke,12,11,12,2
01027,Alabama,Clay,13,12,13,2
01029,Alabama,Cleburne,15,14,15,4
01031,Alabama,Coffee,14,13,14,3
01033,Alabama,Colbert,13,13,14,3
01035,Alabama,Conecuh,10,10,10,1
01037,Alabama,Coosa,12,11,12,1
01039,Alabama,Covington,13,12,14,2
01041,Alabama,Crenshaw,13,13,14,3
01043,Alabama,Cullman,13,13,14,3
01045,Alabama,Dale,15,14,15,4
01047,Alabama,Dallas,10,10,11,1
01049,Alabama,DeKalb,13,13,14,3
01051,Alabama,Elmore,17,16,17,4
01053,Alabama,Escambia,12,12,13,2
01055,Alabama,Etowah,12,12,13,2
01057,Alabama,Fayette,13,13,14,3
01059,Alabama,Franklin,13,12,14,2
01061,Alabama,Geneva,13,12,14,2
01063,Alabama,Greene,9,8,9,1
01065,Alabama,Hale,10,10,11,1
01067,Alabama,Henry,13,12,13,2
01069,Alabama,Houston,13,13,14,3
01071,Alabama,Jackson,13,12,14,3
01073,Alabama,Jefferson,14,14,14,4
01075,Alabama,Lamar,12,12,13,2
01077,Alabama,Lauderdale,14,14,15,4
01079,Alabama,Lawrence,13,13,14,3
01081,Alabama,Lee,16,15,17,4
01083,Alabama,Limestone,14,14,15,4
01085,Alabama,Lowndes,10,9,10,1
01087,Alabama,Macon,10,10,11,1
01089,Alabama,Madison,14,13,14,3
01091,Alabama,Marengo,11,10,11,1
01093,Alabama,Marion,13,12,13,2
01095,Alabama,Marshall,14,13,15,4
01097,Alabama,Mobile,15,15,16,4
01099,Alabama,Monroe,11,11,12,1
01101,Alabama,Montgomery,13,12,13,2
01103,Alabama,Morgan,13,13,14,3
01105,Alabama,Perry,10,9,10,1
01107,Alabama,Pickens,12,11,12,2
01109,Alabama,Pike,13,13,14,3
01111,Alabama,Randolph,13,13,14,3
01113,Alabama,Russell,14,13,14,3
01115,Alabama,St. Clair,14,14,15,4
01117,Alabama,Shelby,15,14,15,4
01119,Alabama,Sumter,10,10,11,1
01121,Alabama,Talladega,13,12,13,2
01123,Alabama,Tallapoosa,13,12,13,2
01125,Alabama,Tuscaloosa,15,15,16,4
01127,Alabama,Walker,12,11,12,1
01129,Alabama,Washington,13,13,14,2
01131,Alabama,Wilcox,9,9,10,1
01133,Alabama,Winston,13,12,14,2
02013,Alaska,Aleutians East,18,17,18,NR
02016,Alaska,Aleutians West,19,19,20,1
02020,Alaska,Anchorage,23,22,23,4
02050,Alaska,Bethel,20,19,21,2
02060,Alaska,Bristol Bay,23,22,24,NR
02068,Alaska,Denali,22,21,23,4
02070,Alaska,Dillingham,20,19,21,2
02090,Alaska,Fairbanks North Star,23,22,23,4
02100,Alaska,Haines,20,19,21,1
02110,Alaska,Juneau,22,22,23,4
02122,Alaska,Kenai Peninsula,21,21,22,3
02130,Alaska,Ketchikan Gateway,20,20,21,2
02150,Alaska,Kodiak Island,21,20,21,2
02164,Alaska,Lake and Peninsula,21,20,22,3
02170,Alaska,Matanuska-Susitna,20,20,21,2
02180,Alaska,Nome,20,19,21,1
02185,Alaska,North Slope,21,21,22,3
02188,Alaska,Northwest Arctic,21,20,22,3
02220,Alaska,Sitka,21,21,22,4
02240,Alaska,Southeast Fairbanks,19,19,20,1
02261,Alaska,Valdez-Cordova,19,18,20,1
02282,Alaska,Yakutat,20,20,21,NR
02290,Alaska,Yukon-Koyukuk,21,20,22,3
04001,Arizona,Apache,15,15,16,3
04003,Arizona,Cochise,15,15,16,2
04005,Arizona,Coconino,19,19,20,4
04007,Arizona,Gila,14,14,15,1
04009,Arizona,Graham,17,16,17,4
04011,Arizona,Greenlee,18,17,18,4
04012,Arizona,La Paz,13,12,13,1
04013,Arizona,Maricopa,16,16,17,4
04015,Arizona,Mohave,14,14,15,1
04017,Arizona,Navajo,15,14,15,2
04019,Arizona,Pima,16,16,17,3
04021,Arizona,Pinal,16,16,17,3
04023,Arizona,Santa Cruz,13,13,14,1
04025,Arizona,Yavapai,15,15,16,2
04027,Arizona,Yuma,15,15,16,2
05001,Arkansas,Arkansas,13,12,13,3
05003,Arkansas,Ashley,12,12,13,2
05005,Arkansas,Baxter,12,11,13,1
05007,Arkansas,Benton,16,16,17,4
05009,Arkansas,Boone,13,13,14,3
05011,Arkansas,Bradley,11,11,11,1
05013,Arkansas,Calhoun,13,12,13,3
05015,Arkansas,Carroll,13,12,13,2
05017,Arkansas,Chicot,10,10,11,1
05019,Arkansas,Clark,14,13,14,4
05021,Arkansas,Clay,13,12,14,3
05023,Arkansas,Cleburne,13,12,14,3
05025,Arkansas,Cleveland,13,13,14,3
05027,Arkansas,Columbia,13,12,13,2
05029,Arkansas,Conway,13,12,14,3
05031,Arkansas,Craighead,15,15,16,4
05033,Arkansas,Crawford,14,13,15,4
05035,Arkansas,Crittenden,12,11,12,1
05037,Arkansas,Cross,13,12,13,2
05039,Arkansas,Dallas,12,11,12,1
05041,Arkansas,Desha,10,10,11,1
05043,Arkansas,Drew,12,12,13,2
05045,Arkansas,Faulkner,16,16,17,4
05047,Arkansas,Franklin,13,13,14,3
05049,Arkansas,Fulton,12,12,13,2
05051,Arkansas,Garland,13,13,14,3
05053,Arkansas,Grant,15,14,15,4
05055,Arkansas,Greene,15,15,16,4
05057,Arkansas,Hempstead,11,11,11,1
05059,Arkansas,Hot Spring,14,13,14,4
05061,Arkansas,Howard,12,12,13,2
05063,Arkansas,Independence,13,13,14,3
05065,Arkansas,Izard,12,11,13,2
05067,Arkansas,Jackson,13,12,14,3
05069,Arkansas,Jefferson,12,11,12,1
05071,Arkansas,Johnson,14,13,15,4
05073,Arkansas,Lafayette,11,11,12,1
05075,Arkansas,Lawrence,13,13,14,3
05077,Arkansas,Lee,12,11,13,2
05079,Arkansas,Lincoln,14,13,15,4
05081,Arkansas,Little River,12,12,13,2
05083,Arkansas,Logan,14,13,15,4
05085,Arkansas,Lonoke,16,15,17,4
05087,Arkansas,Madison,13,12,14,3
05089,Arkansas,Marion,12,12,13,2
05091,Arkansas,Miller,13,12,14,3
05093,Arkansas,Mississippi,12,11,12,1
05095,Arkansas,Monroe,10,10,10,1
05097,Arkansas,Montgomery,12,12,13,2
05099,Arkansas,Nevada,11,10,11,1
05101,Arkansas,Newton,12,12,13,2
05103,Arkansas,Ouachita,11,11,12,1
05105,Arkansas,Perry,14,13,15,4
05107,Arkansas,Phillips,9,9,10,1
05109,Arkansas,Pike,13,13,14,3
05111,Arkansas,Poinsett,13,12,13,2
05113,Arkansas,Polk,12,12,13,2
05115,Arkansas,Pope,14,13,15,4
05117,Arkansas,Prairie,12,11,13,2
05119,Arkansas,Pulaski,15,14,15,4
05121,Arkansas,Randolph,14,13,15,4
05123,Arkansas,St. Francis,12,11,12,1
05125,Arkansas,Saline,16,16,17,4
05127,Arkansas,Scott,13,12,14,3
05129,Arkansas,Searcy,12,12,13,2
05131,Arkansas,Sebastian,13,12,14,3
05133,Arkansas,Sevier,12,11,12,1
05135,Arkansas,Sharp,11,11,12,1
05137,Arkansas,Stone,12,11,12,1
05139,Arkansas,Union,12,12,13,2
05141,Arkansas,Van Buren,12,12,13,2
05143,Arkansas,Washington,15,15,16,4
05145,Arkansas,White,15,14,16,4
05147,Arkansas,Woodruff,11,11,12,1
05149,Arkansas,Yell,13,12,14,3
06001,California,Alameda,17,17,17,1
06003,California,Alpine,17,17,18,NR
06005,California,Amador,19,18,20,3
06007,California,Butte,21,20,22,4
06009,California,Calaveras,19,18,20,3
06011,California,Colusa,18,17,19,2
06013,California,Contra Costa,18,18,18,2
06015,California,Del Norte,19,18,19,3
06017,California,El Dorado,19,19,20,4
06019,California,Fresno,18,17,18,2
06021,California,Glenn,17,16,18,1
06023,California,Humboldt,21,20,22,4
06025,California,Imperial,17,17,18,2
06027,California,Inyo,18,17,19,2
06029,California,Kern,17,16,17,1
06031,California,Kings,20,19,21,4
06033,California,Lake,17,16,18,1
06035,California,Lassen,23,22,24,4
06037,California,Los Angeles,19,18,19,3
06039,California,Madera,17,16,17,1
06041,California,Marin,21,20,22,4
06043,California,Mariposa,19,18,19,3
06045,California,Mendocino,19,18,20,3
06047,California,Merced,17,17,18,1
06049,California,Modoc,17,16,17,1
06051,California,Mono,21,20,22,4
06053,California,Monterey,18,17,18,2
06055,California,Napa,19,19,20,3
06057,California,Nevada,19,18,20,3
06059,California,Orange,18,17,18,2
06061,California,Placer,18,17,18,2
06063,California,Plumas,17,17,18,2
06065,California,Riverside,18,18,19,3
06067,California,Sacramento,19,18,19,3
06069,California,San Benito,20,19,20,4
06071,California,San Bernardino,16,16,17,1
06073,California,San Diego,20,19,20,4
06075,California,San Francisco,23,22,24,4
06077,California,San Joaquin,18,18,19,3
06079,California,San Luis Obispo,20,19,21,4
06081,California,San Mateo,18,18,18,2
06083,California,Santa Barbara,19,19,20,3
06085,California,Santa Clara,16,16,17,1
06087,California,Santa Cruz,20,20,21,4
06089,California,Shasta,17,17,18,1
06091,California,Sierra,17,16,18,1
06093,California,Siskiyou,18,17,18,2
06095,California,Solano,19,19,20,3
06097,California,Sonoma,20,19,21,4
06099,California,Stanislaus,18,17,18,2
06101,California,Sutter,17,16,17,1
06103,California,Tehama,17,17,18,2
06105,California,Trinity,17,16,18,1
06107,California,Tulare,17,16,17,1
06109,California,Tuolumne,20,19,20,4
06111,California,Ventura,17,17,18,2
06113,California,Yolo,19,18,20,3
06115,California,Yuba,19,18,19,3
08001,Colorado,Adams,18,18,19,3
08003,Colorado,Alamosa,17,16,18,2
08005,Colorado,Arapahoe,17,17,18,2
08007,Colorado,Archuleta,15,15,16,1
08009,Colorado,Baca,14,14,15,1
08011,Colorado,Bent,18,17,19,3
08013,Colorado,Boulder,20,19,20,4
08014,Colorado,Broomfield,19,18,20,3
08015,Colorado,Chaffee,18,17,19,3
08017,Colorado,Cheyenne,17,16,18,NR
08019,Colorado,Clear Creek,20,19,21,4
08021,Colorado,Conejos,14,13,14,1
08023,Colorado,Costilla,12,12,13,1
08025,Colorado,Crowley,17,17,18,2
08027,Colorado,Custer,14,14,15,1
08029,Colorado,Delta,14,14,15,1
08031,Colorado,Denver,22,22,23,4
08033,Colorado,Dolores,15,14,16,1
08035,Colorado,Douglas,21,20,21,4
08037,Colorado,Eagle,24,23,25,4
08039,Colorado,Elbert,18,17,19,3
08041,Colorado,El Paso,18,18,19,3
08043,Colorado,Fremont,17,16,17,2
08045,Colorado,Garfield,19,19,20,4
08047,Colorado,Gilpin,19,18,19,3
08049,Colorado,Grand,21,20,22,4
08051,Colorado,Gunnison,21,20,22,4
08053,Colorado,Hinsdale,17,16,18,NR
08055,Colorado,Huerfano,13,12,13,1
08057,Colorado,Jackson,16,16,17,NR
08059,Colorado,Jefferson,19,19,20,3
08061,Colorado,Kiowa,15,15,16,NR
08063,Colorado,Kit Carson,17,16,17,2
08065,Colorado,Lake,18,18,19,3
08067,Colorado,La Plata,22,21,23,4
08069,Colorado,Larimer,21,20,22,4
08071,Colorado,Las Animas,15,15,16,1
08073,Colorado,Lincoln,17,16,18,2
08075,Colorado,Logan,19,18,19,3
08077,Colorado,Mesa,18,17,19,3
08079,Colorado,Mineral,17,16,17,NR
08081,Colorado,Moffat,18,17,19,3
08083,Colorado,Montezuma,17,16,18,2
08085,Colorado,Montrose,16,16,17,2
08087,Colorado,Morgan,18,17,18,2
08089,Colorado,Otero,14,14,15,1
08091,Colorado,Ouray,16,16,17,2
08093,Colorado,Park,19,18,20,3
08095,Colorado,Phillips,16,16,17,2
08097,Colorado,Pitkin,20,19,20,4
08099,Colorado,Prowers,16,16,17,2
08101,Colorado,Pueblo,16,15,16,1
08103,Colorado,Rio Blanco,18,17,19,3
08105,Colorado,Rio Grande,15,14,15,1
08107,Colorado,Routt,22,21,23,4
08109,Colorado,Saguache,13,12,14,1
08111,Colorado,San Juan,16,15,17,NR
08113,Colorado,San Miguel,20,20,21,4
08115,Colorado,Sedgwick,16,15,16,1
08117,Colorado,Summit,24,23,25,4
08119,Colorado,Teller,17,16,18,2
08121,Colorado,Washington,17,17,18,2
08123,Colorado,Weld,18,17,18,3
08125,Colorado,Yuma,17,17,18,2
09001,Connecticut,Fairfield,21,20,21,4
09003,Connecticut,Hartford,17,17,18,1
09005,Connecticut,Litchfield,19,19,20,3
09007,Connecticut,Middlesex,19,19,20,2
09009,Connecticut,New Haven,18,17,18,1
09011,Connecticut,New London,19,18,20,2
09013,Connecticut,Tolland,22,21,23,4
09015,Connecticut,Windham,19,19,20,3
10001,Delaware,Kent,15,15,16,2
10003,Delaware,New Castle,18,18,19,3
10005,Delaware,Sussex,14,14,15,1
11001,District of Columbia,District of Columbia,26,25,27,1
12001,Florida,Alachua,19,18,20,4
12003,Florida,Baker,20,19,21,4
12005,Florida,Bay,20,20,21,4
12007,Florida,Bradford,19,18,20,3
12009,Florida,Brevard,16,16,17,2
12011,Florida,Broward,17,17,18,2
12013,Florida,Calhoun,18,17,18,2
12015,Florida,Charlotte,15,15,16,1
12017,Florida,Citrus,15,14,15,1
12019,Florida,Clay,19,18,20,3
12021,Florida,Collier,18,18,19,3
12023,Florida,Columbia,18,17,19,3
12027,Florida,DeSoto,16,15,16,1
12029,Florida,Dixie,17,16,18,2
12031,Florida,Duval,16,15,16,1
12033,Florida,Escambia,20,19,21,4
12035,Florida,Flagler,17,16,17,2
12037,Florida,Franklin,19,18,20,4
12039,Florida,Gadsden,15,14,16,1
12041,Florida,Gilchrist,18,17,19,3
12043,Florida,Glades,16,16,17,2
12045,Florida,Gulf,20,19,21,4
12047,Florida,Hamilton,18,17,19,3
12049,Florida,Hardee,16,16,17,2
12051,Florida,Hendry,16,16,17,1
12053,Florida,Hernando,15,15,16,1
12055,Florida,Highlands,15,14,15,1
12057,Florida,Hillsborough,19,19,20,4
12059,Florida,Holmes,17,16,18,2
12061,Florida,Indian River,16,16,17,1
12063,Florida,Jackson,17,17,18,2
12065,Florida,Jefferson,16,16,17,2
12067,Florida,Lafayette,20,19,21,4
12069,Florida,Lake,16,15,16,1
12071,Florida,Lee,19,19,20,4
12073,Florida,Leon,19,18,20,3
12075,Florida,Levy,16,16,17,2
12077,Florida,Liberty,20,19,21,4
12079,Florida,Madison,16,16,17,1
12081,Florida,Manatee,19,18,19,3
12083,Florida,Marion,17,16,17,2
12085,Florida,Martin,17,17,18,2
12086,Florida,Miami-Dade,17,16,17,2
12087,Florida,Monroe,18,18,19,3
12089,Florida,Nassau,18,18,19,3
12091,Florida,Okaloosa,21,20,22,4
12093,Florida,Okeechobee,16,15,17,1
12095,Florida,Orange,18,18,19,3
12097,Florida,Osceola,17,16,18,2
12099,Florida,Palm Beach,18,18,18,3
12101,Florida,Pasco,16,16,17,1
12103,Florida,Pinellas,20,19,20,4
12105,Florida,Polk,15,14,15,1
12107,Florida,Putnam,16,15,17,1
12109,Florida,St. Johns,20,20,21,4
12111,Florida,St. Lucie,17,16,17,2
12113,Florida,Santa Rosa,20,19,21,4
12115,Florida,Sarasota,18,17,18,3
12117,Florida,Seminole,18,17,18,3
12119,Florida,Sumter,13,13,14,1
12121,Florida,Suwannee,17,16,18,2
12123,Florida,Taylor,19,18,19,3
12125,Florida,Union,20,19,21,4
12127,Florida,Volusia,16,16,17,1
12129,Florida,Wakulla,20,20,21,4
12131,Florida,Walton,20,19,20,4
12133,Florida,Washington,18,18,19,3
13001,Georgia,Appling,15,14,16,2
13003,Georgia,Atkinson,15,14,15,2
13005,Georgia,Bacon,16,16,17,3
13007,Georgia,Baker,13,13,14,1
13009,Georgia,Baldwin,15,14,16,2
13011,Georgia,Banks,17,16,18,4
13013,Georgia,Barrow,17,17,18,4
13015,Georgia,Bartow,19,18,20,4
13017,Georgia,Ben Hill,13,13,14,1
13019,Georgia,Berrien,15,14,16,2
13021,Georgia,Bibb,14,13,14,1
13023,Georgia,Bleckley,15,15,16,3
13025,Georgia,Brantley,16,15,17,4
13027,Georgia,Brooks,14,13,14,2
13029,Georgia,Bryan,18,18,19,4
