,,,,,,
,,,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile
FIPS,State,County,4.1,2.9,5.4,2
01001,Alabama,Autauga,4.2,3.4,4.9,2
01003,Alabama,Baldwin,4.6,3.0,6.2,3
01005,Alabama,Barbour,5.6,4.0,7.2,4
01007,Alabama,Bibb,5.1,3.4,6.8,4
01009,Alabama,Blount,5.7,1.5,10.0,4
01011,Alabama,Bullock,3.5,2.2,4.8,1
01013,Alabama,Butler,4.9,4.2,5.6,4
01015,Alabama,Calhoun,4.8,2.8,6.7,3
01017,Alabama,Chambers,4.6,2.5,6.6,3
01019,Alabama,Cherokee,5.2,3.8,6.6,4
01021,Alabama,2000,4.1,2.9,5.3,2
01023,Alabama,Choctaw,2.4,1.5,3.2,1
01025,Alabama,Clarke,4.7,2.9,6.6,3
01027,Alabama,Clay,4.8,3.0,6.6,3
01029,Alabama,Cleburne,4.2,3.0,5.4,2
01031,Alabama,Coffee,4.4,3.3,5.5,3
01033,Alabama,Colbert,3.8,2.2,5.4,2
01035,Alabama,Conecuh,3.4,2.1,4.7,1
01037,Alabama,Coosa,4.0,2.5,5.4,2
01039,Alabama,Covington,3.6,2.1,5.2,1
01041,Alabama,Crenshaw,4.7,3.4,6.1,3
01043,Alabama,Cullman,4.0,3.1,5.0,2
01045,Alabama,Dale,3.6,2.8,4.5,1
01047,Alabama,Dallas,5.2,3.8,6.7,4
01049,Alabama,DeKalb,3.8,2.9,4.7,2
01051,Alabama,Elmore,3.6,2.4,4.7,1
01053,Alabama,Escambia,4.6,3.8,5.4,3
01055,Alabama,Etowah,5.3,3.0,7.6,4
01057,Alabama,Fayette,4.6,2.9,6.4,3
01059,Alabama,Franklin,3.0,1.9,4.2,1
01061,Alabama,Geneva,5.3,2.8,7.8,4
01063,Alabama,Greene,3.7,2.8,4.7,1
01065,Alabama,Hale,3.7,2.1,5.3,1
01067,Alabama,Henry,4.3,3.4,5.2,2
01069,Alabama,Houston,5.4,3.7,7.2,4
01071,Alabama,Jackson,3.6,3.3,3.9,1
01073,Alabama,Jefferson,5.5,4.0,7.1,4
01075,Alabama,Lamar,4.0,3.1,4.8,2
01077,Alabama,Lauderdale,4.3,2.4,6.2,2
01079,Alabama,Lawrence,4.3,3.3,5.4,2
01081,Alabama,Lee,3.1,2.2,4.1,1
01083,Alabama,Limestone,5.0,3.1,6.9,4
01085,Alabama,Lowndes,2.5,1.5,3.5,1
01087,Alabama,Macon,3.3,2.8,3.8,1
01089,Alabama,Madison,3.2,2.3,4.0,1
01091,Alabama,Marengo,4.4,3.0,5.9,3
01093,Alabama,Marion,4.6,3.6,5.6,3
01095,Alabama,Marshall,4.5,4.1,5.0,3
01097,Alabama,Mobile,4.0,2.4,5.6,2
01099,Alabama,Monroe,3.5,3.0,4.0,1
01101,Alabama,Montgomery,3.8,2.9,4.6,2
01103,Alabama,Morgan,3.7,1.9,5.6,1
01105,Alabama,Perry,3.3,2.0,4.6,1
01107,Alabama,Pickens,3.8,2.8,4.9,2
01109,Alabama,Pike,4.5,2.9,6.1,3
01111,Alabama,Randolph,4.2,2.9,5.4,2
01113,Alabama,Russell,3.9,2.9,4.9,2
01115,Alabama,St. Clair,3.7,2.9,4.4,1
01117,Alabama,Shelby,4.5,2.9,6.2,3
01119,Alabama,Sumter,5.2,4.2,6.3,4
01121,Alabama,Talladega,5.5,4.2,6.8,4
01123,Alabama,Tallapoosa,4.3,3.7,4.8,2
01125,Alabama,Tuscaloosa,5.0,4.0,6.0,4
01127,Alabama,Walker,2.6,1.5,3.6,1
01129,Alabama,Washington,6.4,3.8,9.0,4
01131,Alabama,Wilcox,6.4,4.0,8.8,4
