FIPS,State,County,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score
01000,Alabama,,4.1,4.0,4.2,
01001,Alabama,Autauga,4.3,3.1,5.5,0.10
01003,Alabama,Baldwin,3.8,3.1,4.5,-0.57
01005,Alabama,Barbour,4.1,2.7,5.6,-0.17
01007,Alabama,Bibb,5.3,3.8,6.7,1.43
01009,Alabama,Blount,4.0,2.7,5.4,-0.30
01011,Alabama,Bullock,,,,0.00
01013,Alabama,Butler,3.2,2.0,4.4,-1.37
01015,Alabama,Calhoun,5.0,4.3,5.7,1.03
01017,Alabama,Chambers,4.0,2.7,5.3,-0.30
01019,Alabama,Cherokee,4.3,2.6,6.0,0.10
01021,Alabama,Chilton,4.8,3.6,6.1,0.77
01023,Alabama,Choctaw,4.6,3.4,5.9,0.50
01025,Alabama,Clarke,2.4,1.6,3.2,-2.44
01027,Alabama,Clay,4.6,2.8,6.5,0.50
01029,Alabama,Cleburne,4.5,2.7,6.2,0.37
01031,Alabama,Coffee,3.8,2.8,4.8,-0.57
01033,Alabama,Colbert,4.5,3.4,5.6,0.37
01035,Alabama,Conecuh,4.1,2.6,5.7,-0.17
01037,Alabama,Coosa,3.9,2.2,5.6,-0.43
01039,Alabama,Covington,4.5,2.9,6.0,0.37
01041,Alabama,Crenshaw,3.4,2.0,4.8,-1.10
01043,Alabama,Cullman,4.5,3.2,5.8,0.37
01045,Alabama,Dale,4.0,3.1,5.0,-0.30
01047,Alabama,Dallas,3.7,2.9,4.5,-0.70
01049,Alabama,DeKalb,5.2,3.7,6.6,1.30
01051,Alabama,Elmore,3.7,2.8,4.6,-0.70
01053,Alabama,Escambia,4.8,3.3,6.3,0.77
01055,Alabama,Etowah,4.5,3.7,5.3,0.37
01057,Alabama,Fayette,5.5,3.2,7.7,1.70
01059,Alabama,Franklin,3.9,2.4,5.4,-0.43
01061,Alabama,Geneva,3.3,2.2,4.4,-1.23
01063,Alabama,Greene,5.0,2.1,7.9,1.03
01065,Alabama,Hale,4.1,3.0,5.2,-0.17
01067,Alabama,Henry,3.7,2.2,5.3,-0.70
01069,Alabama,Houston,4.3,3.4,5.1,0.10
01071,Alabama,Jackson,5.5,3.7,7.3,1.70
01073,Alabama,Jefferson,3.8,3.4,4.1,-0.57
01075,Alabama,Lamar,5.4,3.9,6.9,1.57
01077,Alabama,Lauderdale,3.7,2.9,4.5,-0.70
01079,Alabama,Lawrence,4.4,2.5,6.3,0.23
01081,Alabama,Lee,4.9,3.8,6.1,0.90
01083,Alabama,Limestone,3.3,2.4,4.2,-1.23
01085,Alabama,Lowndes,4.7,3.0,6.5,0.63
01087,Alabama,Macon,2.4,1.3,3.4,-2.44
01089,Alabama,Madison,3.3,2.8,3.8,-1.23
01091,Alabama,Marengo,3.7,2.8,4.5,-0.70
01093,Alabama,Marion,4.5,3.0,5.9,0.37
01095,Alabama,Marshall,4.5,3.6,5.5,0.37
01097,Alabama,Mobile,4.5,4.0,5.0,0.37
01099,Alabama,Monroe,4.2,2.6,5.9,-0.03
01101,Alabama,Montgomery,3.6,3.1,4.1,-0.83
01103,Alabama,Morgan,3.8,2.9,4.8,-0.57
01105,Alabama,Perry,3.5,2.1,4.8,-0.97
01107,Alabama,Pickens,3.3,2.0,4.5,-1.23
01109,Alabama,Pike,3.6,2.6,4.5,-0.83
01111,Alabama,Randolph,4.5,3.1,5.9,0.37
01113,Alabama,Russell,4.4,2.9,5.9,0.23
01115,Alabama,St. Clair,4.0,3.0,5.1,-0.30
01117,Alabama,Shelby,3.6,2.9,4.4,-0.83
01119,Alabama,Sumter,4.2,2.7,5.6,-0.03
01121,Alabama,Talladega,5.1,4.1,6.0,1.17
01123,Alabama,Tallapoosa,5.2,3.9,6.4,1.30
01125,Alabama,Tuscaloosa,4.3,3.8,4.9,0.10
01127,Alabama,Walker,5.6,4.5,6.8,1.83
01129,Alabama,Washington,2.9,1.9,4.0,-1.77
01131,Alabama,Wilcox,4.9,2.9,6.8,0.90
01133,Alabama,Winston,6.3,3.8,8.8,2.77
02000,Alaska,,2.9,2.8,3.1,
02013,Alaska,Aleutians East,3.6,2.1,5.1,
02016,Alaska,Aleutians West,1.6,1.0,2.3,-1.63
02020,Alaska,Anchorage,2.9,2.6,3.2,0.44
02050,Alaska,Bethel,2.8,2.2,3.5,0.28
02060,Alaska,Bristol Bay,1.6,0.6,2.5,
02068,Alaska,Denali,2.0,1.2,2.8,
02070,Alaska,Dillingham,2.2,1.3,3.0,-0.67
02090,Alaska,Fairbanks North Star,3.0,2.7,3.3,0.60
02100,Alaska,Haines,2.1,1.3,2.9,-0.83
02110,Alaska,Juneau,3.0,2.6,3.5,0.60
02122,Alaska,Kenai Peninsula,3.2,2.8,3.5,0.92
02130,Alaska,Ketchikan Gateway,3.1,2.5,3.7,0.76
02150,Alaska,Kodiak Island,2.1,1.5,2.6,-0.83
02164,Alaska,Lake and Peninsula,1.8,0.8,2.9,-1.31
02170,Alaska,Matanuska-Susitna,3.4,2.7,4.0,1.24
02180,Alaska,Nome,2.5,1.8,3.2,-0.19
02185,Alaska,North Slope,1.3,0.8,1.8,-2.11
02188,Alaska,Northwest Arctic,2.3,1.0,3.5,-0.51
02201,Alaska,Prince of Wales-Outer Ketchikan,2.9,2.0,3.8,0.44
02220,Alaska,Sitka,2.7,2.0,3.4,0.12
02232,Alaska,Skagway-Hoonah-Angoon,2.2,1.3,3.1,-0.67
02240,Alaska,Southeast Fairbanks,2.3,1.4,3.1,-0.51
02261,Alaska,Valdez-Cordova,3.5,2.7,4.2,1.40
02270,Alaska,Wade Hampton,3.8,2.0,5.7,1.88
02280,Alaska,Wrangell-Petersburg,3.1,2.0,4.2,0.76
02282,Alaska,Yakutat,3.1,1.3,5.0,
02290,Alaska,Yukon-Koyukuk,2.5,1.9,3.2,-0.19
04000,Arizona,,3.3,3.1,3.5,
04001,Arizona,Apache,4.3,3.5,5.1,0.70
04003,Arizona,Cochise,3.7,3.1,4.3,-0.07
04005,Arizona,Coconino,3.0,2.4,3.5,-0.96
04007,Arizona,Gila,5.5,4.2,6.9,2.22
04009,Arizona,Graham,4.3,3.4,5.2,0.70
04011,Arizona,Greenlee,3.2,2.2,4.1,-0.70
04012,Arizona,La Paz,4.8,3.1,6.5,1.33
04013,Arizona,Maricopa,3.1,2.9,3.3,-0.83
04015,Arizona,Mohave,4.3,3.7,4.8,0.70
04017,Arizona,Navajo,3.6,3.0,4.1,-0.20
04019,Arizona,Pima,3.4,3.1,3.7,-0.45
04021,Arizona,Pinal,3.4,2.9,3.8,-0.45
04023,Arizona,Santa Cruz,2.6,2.2,3.1,-1.47
04025,Arizona,Yavapai,4.1,3.4,4.7,0.44
04027,Arizona,Yuma,3.0,2.7,3.3,-0.96
05000,Arkansas,,3.9,3.7,4.0,
05001,Arkansas,Arkansas,4.4,3.1,5.7,0.28
05003,Arkansas,Ashley,3.6,2.2,5.1,-0.60
05005,Arkansas,Baxter,3.7,2.7,4.7,-0.49
05007,Arkansas,Benton,2.8,2.4,3.2,-1.47
05009,Arkansas,Boone,4.1,2.5,5.6,-0.05
05011,Arkansas,Bradley,4.6,2.3,7.0,0.50
05013,Arkansas,Calhoun,3.7,1.2,6.1,-0.49
05015,Arkansas,Carroll,4.1,2.9,5.4,-0.05
05017,Arkansas,Chicot,4.0,1.9,6.2,-0.16
05019,Arkansas,Clark,3.1,2.0,4.3,-1.14
05021,Arkansas,Clay,3.1,1.9,4.3,-1.14
05023,Arkansas,Cleburne,4.9,2.8,6.9,0.82
05025,Arkansas,Cleveland,5.2,2.8,7.5,1.15
05027,Arkansas,Columbia,4.3,2.8,5.8,0.17
05029,Arkansas,Conway,5.9,3.4,8.4,1.91
05031,Arkansas,Craighead,3.7,3.0,4.5,-0.49
05033,Arkansas,Crawford,4.0,2.7,5.4,-0.16
05035,Arkansas,Crittenden,4.5,3.5,5.6,0.39
05037,Arkansas,Cross,5.0,3.3,6.7,0.93
05039,Arkansas,Dallas,,,,0.00
05041,Arkansas,Desha,3.1,2.0,4.2,-1.14
05043,Arkansas,Drew,4.6,2.9,6.3,0.50
05045,Arkansas,Faulkner,3.5,2.7,4.2,-0.70
05047,Arkansas,Franklin,4.6,3.1,6.1,0.50
05049,Arkansas,Fulton,2.8,1.7,3.9,-1.47
05051,Arkansas,Garland,5.3,4.2,6.5,1.26
05053,Arkansas,Grant,5.7,3.2,8.1,1.69
05055,Arkansas,Greene,3.9,2.9,4.9,-0.27
05057,Arkansas,Hempstead,4.4,3.0,5.8,0.28
05059,Arkansas,Hot Spring,5.3,3.4,7.2,1.26
05061,Arkansas,Howard,3.1,1.8,4.4,-1.14
05063,Arkansas,Independence,4.4,3.2,5.6,0.28
05065,Arkansas,Izard,5.5,3.1,7.9,1.48
05067,Arkansas,Jackson,3.5,2.3,4.7,-0.70
05069,Arkansas,Jefferson,4.1,3.2,4.9,-0.05
05071,Arkansas,Johnson,3.4,2.4,4.5,-0.81
05073,Arkansas,Lafayette,4.7,2.2,7.1,0.60
05075,Arkansas,Lawrence,3.6,1.7,5.4,-0.60
05077,Arkansas,Lee,4.4,2.7,6.0,0.28
05079,Arkansas,Lincoln,3.6,2.1,5.2,-0.60
05081,Arkansas,Little River,4.0,2.6,5.4,-0.16
05083,Arkansas,Logan,3.3,2.1,4.5,-0.92
05085,Arkansas,Lonoke,4.0,2.9,5.1,-0.16
05087,Arkansas,Madison,2.3,1.5,3.0,-2.01
05089,Arkansas,Marion,4.1,2.8,5.4,-0.05
05091,Arkansas,Miller,3.5,2.4,4.6,-0.70
05093,Arkansas,Mississippi,4.6,3.5,5.8,0.50
05095,Arkansas,Monroe,3.4,1.3,5.4,-0.81
05097,Arkansas,Montgomery,3.8,2.3,5.3,-0.38
05099,Arkansas,Nevada,,,,0.00
05101,Arkansas,Newton,3.3,2.0,4.5,-0.92
05103,Arkansas,Ouachita,6.3,4.1,8.5,2.35
05105,Arkansas,Perry,3.4,1.9,5.0,-0.81
05107,Arkansas,Phillips,5.4,4.0,6.8,1.37
