FIPS,State,County,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile
01000,Alabama,,5.6,5.3,6.0,
01001,Alabama,Autauga,5.4,5.1,5.7,1
01003,Alabama,Baldwin,5.2,4.8,5.5,1
01005,Alabama,Barbour,6.1,5.9,6.4,4
01007,Alabama,Bibb,5.8,5.6,6.1,3
01009,Alabama,Blount,5.7,5.4,6.0,2
01011,Alabama,Bullock,5.7,5.4,6.0,2
01013,Alabama,Butler,6.0,5.7,6.2,3
01015,Alabama,Calhoun,5.7,5.4,6.1,2
01017,Alabama,Chambers,5.8,5.6,6.1,2
01019,Alabama,Cherokee,6.0,5.7,6.4,3
01021,Alabama,Chilton,5.9,5.6,6.2,3
01023,Alabama,Choctaw,6.1,5.8,6.4,4
01025,Alabama,Clarke,6.0,5.7,6.3,3
01027,Alabama,Clay,6.2,5.9,6.5,4
01029,Alabama,Cleburne,5.9,5.6,6.3,3
01031,Alabama,Coffee,5.4,5.1,5.7,1
01033,Alabama,Colbert,5.7,5.4,6.0,2
01035,Alabama,Conecuh,6.0,5.7,6.2,3
01037,Alabama,Coosa,5.8,5.5,6.1,2
01039,Alabama,Covington,5.9,5.6,6.3,3
01041,Alabama,Crenshaw,5.9,5.6,6.2,3
01043,Alabama,Cullman,5.8,5.5,6.2,2
01045,Alabama,Dale,5.6,5.3,5.9,1
01047,Alabama,Dallas,6.0,5.7,6.3,3
01049,Alabama,DeKalb,6.0,5.8,6.3,3
01051,Alabama,Elmore,5.4,5.1,5.7,1
01053,Alabama,Escambia,6.0,5.8,6.3,3
01055,Alabama,Etowah,5.8,5.4,6.1,2
01057,Alabama,Fayette,6.1,5.7,6.4,4
01059,Alabama,Franklin,5.7,5.4,6.0,2
01061,Alabama,Geneva,6.1,5.8,6.4,4
01063,Alabama,Greene,6.4,6.0,6.7,4
01065,Alabama,Hale,6.0,5.7,6.3,3
01067,Alabama,Henry,5.7,5.4,6.1,2
01069,Alabama,Houston,5.7,5.3,5.9,1
01071,Alabama,Jackson,6.1,5.8,6.4,4
01073,Alabama,Jefferson,5.2,4.9,5.5,1
01075,Alabama,Lamar,6.1,5.8,6.4,4
01077,Alabama,Lauderdale,5.6,5.3,5.9,1
01079,Alabama,Lawrence,6.1,5.8,6.4,4
01081,Alabama,Lee,5.3,5.0,5.6,1
01083,Alabama,Limestone,5.4,5.1,5.7,1
01085,Alabama,Lowndes,6.1,5.7,6.4,4
01087,Alabama,Macon,5.7,5.4,6.1,2
01089,Alabama,Madison,4.9,4.6,5.2,1
01091,Alabama,Marengo,5.8,5.6,6.1,2
01093,Alabama,Marion,6.1,5.7,6.4,4
01095,Alabama,Marshall,5.7,5.4,6.0,2
01097,Alabama,Mobile,5.6,5.3,5.9,1
01099,Alabama,Monroe,6.1,5.8,6.3,4
01101,Alabama,Montgomery,5.3,5.0,5.6,1
01103,Alabama,Morgan,5.5,5.2,5.8,1
01105,Alabama,Perry,6.2,5.9,6.5,4
01107,Alabama,Pickens,5.8,5.5,6.0,2
