FIPS,State,County,Football Team,,
04013,Arizona,Maricopa,Arizona Cardinals,,
13121,Georgia,Fulton,Atlanta Falcons,,
24005,Maryland,Baltimore,Baltimore Ravens,,
36029,New York,Erie,Buffalo Bills,,
37119,North Carolina,Mecklenburg,Carolina Panthers,,
17031,Illinois,Cook,Chicago Bears,,
39061,Ohio,Hamilton,Cincinnati Bengals,,
39035,Ohio,Cuyahoga,Cleveland Browns,,
48113,Texas,Dallas,Dallas Cowboys,,
08031,Colorado,Denver,Denver Broncos,,
26163,Michigan,Wayne,Detroit Lions,,
55009,Wisconsin,Brown,Green Bay Packers,,
48201,Texas,Harris,Houston Texans,,
18097,Indiana,Marion,Indianapolis Colts,,
12031,Florida,Duval,Jacksonville Jaguars,,
29095,Missouri,Jackson,Kansas City Chiefs,,
32003,Nevada,Clark,Las Vegas Raiders,,
06037,California,Los Angeles,Los Angeles Rams,,
06037,California,Los Angeles,Los Angeles Chargers,,
12086,Florida,Miami-Dade,Miami Dolphins,,
27053,Minnesota,Hennepin,Minnesota Vikings,,
25021,Massachusetts,Norfolk,New England Patriots,,
34003,New Jersey,Bergen,New York Jets,,
34003,New Jersey,Bergen,New York Giants,,
42101,Pennsylvania,Philadelphia,Philadelphia Eagles,,
42003,Pennsylvania,Allegheny,Pittsburgh Steelers,,
06075,California,San Francisco,San Francisco 49ers,,
53033,Washington,King,Seattle Seahawks,,
12057,Florida,Hillsborough,Tampa Bay Buccaneers ,,
47037,Tennessee,Davidson,Tennessee Titans,,
24033,Maryland,Prince George's,Washington Commanders,,
29189,Missouri,St. Louis,St. Louis Rams,,
06073,California,San Diego,San Diego Chargers,,
06001,California,Alameda,Oakland Raiders,,
24033,Maryland,Prince George's,Washington Football Team,,
24033,Maryland,Prince George's,Washington Redskins,,
